Card Name,Set Name,Normal Price (USD),Foil Price (USD)
Dark Bargain,Ikoria: Lair of Behemoths,0.01,0.17
Dark Betrayal,Theros,0.16,0.72
Darkblade Agent,Guilds of Ravnica,0.06,0.17
Darkblast,Ravnica: City of Guilds,0.38,13.85
Darkbore Pathway // Slitherbore Pathway,Kaldheim,5.08,4.88
Dark Confidant,Ravnica Remastered,5.45,5.45
Dark Dabbling,Ultimate Masters,0.14,0.26
Dark Deal,Fate Reforged,5.04,20.18
Dark Depths,Dominaria Remastered,2.28,1.96
Dark-Dweller Oracle,Double Masters 2022,0.15,0.17
Darkest Hour,Seventh Edition,3.71,
Dark Favor,Magic 2014,0.04,0.25
Dark Hatchling,Commander Legends: Battle for Baldur's Gate,0.08,
Dark Heart of the Wood,Ravnica: City of Guilds,0.14,7.00
Darkheart Sliver,Time Spiral Remastered,0.26,3.24
Dark Impostor,Crimson Vow Commander,0.39,
Dark Inquiry,Rivals of Ixalan,0.04,0.27
Dark Intimations,Aether Revolt,0.23,0.75
Darkling Stalker,Tempest,0.10,
Darklit Gargoyle,Conflux,0.04,0.21
Dark Maze,Fifth Edition,0.08,
Darkmoss Bridge,Duskmourn: House of Horror Commander,0.19,
Darkness,Time Spiral Timeshifted,10.39,68.19
Dark Nourishment,Ixalan,0.03,0.25
Dark Offering,Starter 1999,0.19,
Dark Petition,Magic Origins,2.91,7.26
Dark Privilege,Visions,0.32,
Dark Prophecy,Magic 2014,6.66,10.78
Dark Remedy,Core Set 2020,0.12,
Dark Revenant,Return to Ravnica,0.05,0.17
Dark Ritual,Masters 25,2.58,6.27
Dark Salvation,Midnight Hunt Commander,0.41,
Darkslick Drake,Scars of Mirrodin,0.08,0.35
Darkslick Shores,Outlaws of Thunder Junction Commander,4.85,
Dark Sphere,The Dark,4.32,
Darkstar Augur,Bloomburrow,0.77,0.68
Darksteel Axe,Double Masters,0.07,0.24
Darksteel Brute,Darksteel,0.19,0.52
Darksteel Citadel,Commander 2021,0.77,
Darksteel Colossus,Foundations,2.98,
Darksteel Forge,Double Masters,45.30,39.68
Darksteel Gargoyle,Duel Decks: Mirrodin Pure vs. New Phyrexia,,
Darksteel Garrison,Future Sight,0.57,10.29
Darksteel Ingot,Outlaws of Thunder Junction Commander,0.20,
Darksteel Juggernaut,Commander 2018,0.68,
Darksteel Monolith,Commander Masters,9.91,
Darksteel Mutation,Commander Masters,1.82,2.31
Darksteel Myr,Scars of Mirrodin,0.54,9.58
Darksteel Pendant,Darksteel,0.14,1.00
Darksteel Plate,Double Masters 2022,9.47,8.99
Darksteel Reactor,Darksteel,13.96,38.60
Darksteel Relic,New Phyrexia,0.39,12.12
Darksteel Sentinel,Duel Decks: Mirrodin Pure vs. New Phyrexia,,
Darksteel Splicer,March of the Machine Commander,0.72,
Dark Supplicant,Legions,0.28,2.04
Dark Suspicions,Planeshift,0.49,10.04
Dark Temper,Conflux,0.04,
Darkthicket Wolf,Innistrad,0.11,0.15
Dark Triumph,Nemesis,0.30,4.93
Dark Tutelage,Magic 2011,0.42,3.89
Darkwatch Elves,Urza's Legacy,0.17,1.42
Darkwater Catacombs,Outlaws of Thunder Junction Commander,0.19,
Darkwater Egg,Odyssey,0.29,9.56
Dark Withering,Dominaria Remastered,0.05,0.15
Darling of the Masses,Streets of New Capenna,0.03,0.07
Darting Merfolk,Mercadian Masques,0.14,4.18
Daru Cavalier,Onslaught,0.07,0.34
Daru Encampment,Duel Decks: Elspeth vs. Tezzeret,0.34,
Daru Healer,Onslaught,0.12,0.52
Daru Lancer,Onslaught,0.04,0.29
Daru Mender,Legions,0.13,0.41
Daru Sanctifier,Legions,0.08,0.24
Daru Spiritualist,Scourge,0.17,1.15
Daru Stinger,Legions,0.08,0.39
Daru Warchief,Scourge,3.61,20.57
Dash Hopes,Planar Chaos,0.63,4.92
Dashing Bloodsucker,Duskmourn: House of Horror,0.02,0.02
Daughter of Autumn,Homelands,0.84,
Daunting Defender,Onslaught,0.06,0.33
Dauntless Aven,Hour of Devastation,0.02,0.20
Dauntless Bodyguard,Dominaria,0.29,10.30
Dauntless Cathar,Masters 25,0.03,0.10
Dauntless Dismantler,The Lost Caverns of Ixalan,0.24,0.55
Dauntless Dourbark,Lorwyn,3.64,14.49
Dauntless Escort,Double Masters 2022,0.26,0.36
Dauntless Onslaught,Jumpstart,0.04,
Dauntless River Marshal,Magic 2015,0.03,0.20
Dauntless Survivor,Zendikar Rising,0.03,0.05
Dauntless Unity,Zendikar Rising,0.02,0.03
Dauntless Veteran,Foundations,0.06,0.10
Dauthi Cutthroat,Exodus,0.33,
Dauthi Embrace,Tempest,3.28,
Dauthi Ghoul,Tempest,0.50,
Dauthi Horror,Commander Legends: Battle for Baldur's Gate,0.13,
Dauthi Jackal,Tempest Remastered,,
Dauthi Marauder,Tempest Remastered,,
Dauthi Mercenary,Vintage Masters,,
Dauthi Mindripper,Tempest,0.23,
Dauthi Slayer,Tempest Remastered,,
Dauthi Trapper,Stronghold,0.54,
Dauthi Voidwalker,Modern Horizons 2,6.58,10.82
Dauthi Warlord,Tempest Remastered,,
D'Avenant Archer,Masters Edition III,,
D'Avenant Healer,Time Spiral,0.09,0.42
D'Avenant Trapper,Dominaria,0.04,0.23
"Davriel, Rogue Shadowmage",War of the Spark,0.20,1.03
Davriel's Shadowfugue,War of the Spark,0.05,0.15
"Davros, Dalek Creator",Doctor Who,,0.20
Dawnbreak Reclaimer,Commander Anthology Volume II,0.95,
Dawnbringer Charioteers,Journey into Nyx,0.13,0.16
Dawnbringer Cleric,Commander Legends: Battle for Baldur's Gate,0.06,0.14
Dawn Charm,Commander Legends,2.64,
Dawn Elemental,Scourge,0.60,5.80
Dawn Evangel,Theros Beyond Death,0.02,0.43
Dawnfeather Eagle,Aether Revolt,0.04,0.15
Dawnfluke,Lorwyn,0.15,0.29
Dawnglade Regent,Commander Legends,0.40,0.39
Dawnglare Invoker,Commander Anthology Volume II,0.16,
Dawnglow Infusion,Shadowmoor,0.27,9.73
Dawn Gryff,Eldritch Moon,0.01,
Dawnhart Disciple,Innistrad: Crimson Vow,0.03,0.02
Dawnhart Geist,Innistrad: Crimson Vow,0.06,0.08
Dawnhart Mentor,Innistrad: Midnight Hunt,0.02,0.06
Dawnhart Rejuvenator,Innistrad: Midnight Hunt,0.03,0.02
Dawnhart Wardens,Innistrad: Midnight Hunt,0.03,0.02
Dawning Angel,Core Set 2020,0.04,0.19
Dawning Purist,Onslaught,0.13,0.36
Dawn of a New Age,The Lord of the Rings: Tales of Middle-earth,1.82,4.06
Dawn of Hope,Guilds of Ravnica,0.26,0.97
Dawn of the Dead,Torment,2.20,14.60
Dawnray Archer,Shards of Alara,0.24,0.34
Dawn's Reflection,Commander 2018,0.39,
Dawnstrider,Mercadian Masques,2.39,41.99
Dawnstrike Paladin,Duel Decks: Heroes vs. Monsters,0.14,
Dawn's Truce,Bloomburrow,7.62,6.78
Dawn to Dusk,Commander 2015,0.11,
Dawntreader Elk,Jumpstart,0.11,
Dawnwing Marshal,Foundations,0.25,
"Daxos, Blessed by the Sun",Theros Beyond Death,0.15,0.30
Daxos of Meletis,New Capenna Commander,0.15,
Daxos's Torment,Commander 2015,0.35,
Daxos the Returned,Commander 2015,6.13,
Daybreak Chaplain,Core Set 2020,0.03,0.15
Daybreak Charger,Core Set 2021,0.03,0.17
Daybreak Chimera,Theros Beyond Death,0.03,0.14
Daybreak Combatants,Innistrad: Crimson Vow,0.02,0.01
Daybreak Coronet,Ultimate Masters,1.50,4.75
Daybreak Ranger // Nightfall Predator,Innistrad,0.52,1.98
Day of Destiny,Dominaria United Commander,0.15,
Day of Judgment,Foundations,1.01,0.76
Day of the Dragons,Kaldheim Commander,0.13,
Day of the Moon,Doctor Who,0.07,1.15
Daysquad Marshal,Ikoria: Lair of Behemoths,0.03,0.05
Day's Undoing,Commander Masters,1.20,1.43
Daze,Eternal Masters,2.30,19.15
Dazzling Angel,Foundations,0.09,0.21
Dazzling Beauty,Mirage,0.09,
Dazzling Denial,Bloomburrow,0.04,0.05
Dazzling Lights,Guilds of Ravnica,0.03,0.17
Dazzling Ramparts,Khans of Tarkir,0.06,0.38
Dazzling Reflection,Oath of the Gatewatch,0.06,0.45
Dazzling Sphinx,Outlaws of Thunder Junction Commander,0.16,
Dazzling Theater // Prop Room,Duskmourn: House of Horror,2.72,2.31
Deadapult,Dominaria Remastered,0.03,0.04
Deadbeat Attendant,Unfinity,0.05,0.17
Dead Before Sunrise,Outlaws of Thunder Junction Commander,0.09,
Deadbridge Chant,Duskmourn: House of Horror Commander,0.16,
Deadbridge Goliath,Return to Ravnica,0.17,0.38
Deadbridge Shaman,Eternal Masters,0.04,0.24
Dead Drop,Khans of Tarkir,0.08,0.50
Deadeye Brawler,Rivals of Ixalan,0.17,1.15
Deadeye Duelist,Outlaws of Thunder Junction,0.04,0.05
Deadeye Harpooner,Aether Revolt,0.06,0.31
Deadeye Navigator,Innistrad Remastered,5.99,
Deadeye Plunderers,Ixalan,0.14,0.90
Deadeye Quartermaster,Ixalan,0.29,11.73
Deadeye Rig-Hauler,Rivals of Ixalan,0.02,0.37
Deadeye Tormentor,Ixalan,0.02,0.23
Deadeye Tracker,Ixalan,0.27,0.86
Deadfall,Legends,1.68,
Dead // Gone,Time Spiral Remastered,0.14,5.31
Dead-Iron Sledge,Mirrodin,0.20,1.46
Deadlock Trap,Kaladesh,0.13,0.34
Deadly Alliance,Zendikar Rising,0.02,0.07
Deadly Allure,Dark Ascension,0.11,5.65
Deadly Brew,Foundations,0.20,
Deadly Complication,Murders at Karlov Manor,0.03,0.06
Deadly Cover-Up,Murders at Karlov Manor,0.60,0.61
Deadly Derision,March of the Machine,0.06,0.08
Deadly Designs,Masters 25,0.09,0.69
Deadly Dispute,Outlaws of Thunder Junction Commander,1.58,
Deadly Grub,Time Spiral Remastered,0.04,0.19
Deadly Insect,Mercadian Masques,0.13,0.33
Deadly Plot,Foundations,1.17,
Deadly Recluse,Commander Masters,0.09,0.15
Deadly Riposte,Foundations,0.19,
Deadly Rollick,Commander Masters,22.88,23.71
Deadly Tempest,Commander 2021,0.44,
Deadly Visit,Guilds of Ravnica,0.04,0.21
Deadly Wanderings,Dragons of Tarkir,0.03,0.40
Dead Man's Chest,Forgotten Realms Commander,0.28,
Dead of Winter,Modern Horizons,0.25,2.17
Dead Reckoning,Worldwake,0.08,0.28
Dead Reveler,Iconic Masters,0.10,0.10
Dead Revels,Ravnica Allegiance,0.04,0.27
Dead Ringers,Apocalypse,0.10,0.47
Deadshot,Tempest Remastered,,
Deadshot Minotaur,Alara Reborn,0.13,0.34
Dead Weight,The Lost Caverns of Ixalan,0.01,0.07
Deadwood Treefolk,Dominaria Remastered,0.07,0.12
Deafening Clarion,Guilds of Ravnica,0.25,0.99
Deafening Silence,Throne of Eldraine,1.81,4.48
Deal Broker,Conspiracy,0.64,3.05
Deal Gone Bad,Ravnica: Clue Edition,0.03,
Dearly Departed,Midnight Hunt Commander,0.07,
Death Baron,Foundations,2.92,
Deathbellow Raider,Theros,0.06,0.18
Deathbellow War Cry,Theros Beyond Death,1.60,
Deathbloom Gardener,Dominaria United,0.07,0.16
Deathbloom Ritualist,The Brothers' War,0.16,0.26
Deathbloom Thallid,Core Set 2021,0.03,0.18
Death Bomb,Planeshift,0.10,0.42
Deathbonnet Sprout // Deathbonnet Hulk,Innistrad: Midnight Hunt,0.09,0.23
Deathbringer Liege,Double Masters 2022,0.49,0.72
Deathbringer Regent,New Capenna Commander,0.20,
Deathbringer Thoctar,Commander 2013,0.63,
Death by Dragons,Commander Anthology,0.29,
Deathcap Cultivator,Duskmourn: House of Horror Commander,0.12,
Deathcap Glade,Innistrad: Crimson Vow,10.06,10.23
Deathcap Marionette,The Lost Caverns of Ixalan,0.02,0.06
Death Charmer,Prophecy,0.06,0.30
Death Cloud,Modern Masters,2.97,13.20
Deathcoil Wurm,Masters Edition IV,,
Death Cultist,Rise of the Eldrazi,0.13,1.16
Deathcult Rogue,Gatecrash,0.06,0.37
Deathcurse Ogre,Champions of Kamigawa,0.04,0.29
Death Denied,Ultimate Masters,0.11,0.27
Deathforge Shaman,Conspiracy,0.05,0.21
Death Frenzy,Khans of Tarkir,0.09,0.53
Deathgaze Cockatrice,Magic 2014,0.07,
Deathgazer,Ninth Edition,0.10,
Deathgorge Scavenger,The Lost Caverns of Ixalan Commander,0.21,
Death Grasp,Commander 2015,0.33,
Deathgreeter,Duel Decks Anthology: Garruk vs. Liliana,3.90,
Death-Greeter's Champion,March of the Machine Commander,0.20,
Deathgrip,Masters Edition IV,,
Death-Hood Cobra,Double Masters,0.03,0.06
Death in Heaven,Doctor Who,0.16,1.75
Death Kiss,Commander Legends: Battle for Baldur's Gate,3.02,
Deathknell Berserker,Kaldheim,0.03,0.02
Deathknell Kami,Saviors of Kamigawa,0.09,0.28
Deathlace,Fourth Edition,0.30,
"Deathleaper, Terror Weapon","Warhammer 40,000 Commander",0.19,
Deathless Ancient,Ixalan,0.05,0.32
Deathless Angel,Rise of the Eldrazi,1.50,6.18
Deathless Behemoth,Battle for Zendikar,0.09,0.42
Deathless Knight,Throne of Eldraine,0.10,0.26
Deathmark,Foundations,0.20,
Deathmark Prelate,Legions,0.14,0.53
Death-Mask Duplicant,Darksteel,0.13,0.75
Deathmask Nezumi,Saviors of Kamigawa,0.14,
Death Match,Onslaught,0.48,7.16
Deathmist Raptor,Duskmourn: House of Horror Commander,0.13,
Death Mutation,Commander 2011,0.34,
Death of a Thousand Stings,Saviors of Kamigawa,0.13,0.99
Death or Glory,Invasion,0.50,12.33
Deathpact Angel,Gatecrash,0.61,14.02
Death Pit Offering,Eighth Edition,0.29,
Death Pits of Rath,Tempest Remastered,,
Death-Priest of Myrkul,Adventures in the Forgotten Realms,0.14,0.19
Death Pulse,Onslaught,0.16,0.68
Death Rattle,Modern Masters,0.09,0.24
Death-Rattle Oni,March of the Machine: The Aftermath,0.05,0.12
Deathreap Ritual,Duskmourn: House of Horror Commander,0.14,
Deathrender,Conspiracy,3.51,10.03
Deathrite Shaman,Ravnica Remastered,3.72,4.15
Death's Approach,Jumpstart,0.02,
Death's Caress,Dark Ascension,0.02,0.20
Death's Duet,Tempest Remastered,,
Death's-Head Buzzard,Masters 25,0.04,0.18
Death's Oasis,Ikoria: Lair of Behemoths,0.12,0.21
Death Spark,Masters Edition II,,
Death Speakers,Masters Edition,,
Deathspore Thallid,Time Spiral Remastered,0.14,1.05
Death's Presence,Midnight Hunt Commander,0.26,
Deathsprout,Commander 2020,0.33,
Death's Shadow,Double Masters,1.56,2.22
Death Stroke,Tempest Remastered,,
Death Tyrant,Forgotten Realms Commander,3.60,
Death Ward,Masters Edition,,
Death Watch,Visions,0.20,
Death Wind,Conspiracy: Take the Crown,0.09,0.57
Death Wish,Judgment,0.65,9.74
Debilitating Injury,Khans of Tarkir,0.02,0.09
Debt of Loyalty,Weatherlight,10.41,
Debtors' Knell,Commander 2021,0.67,
Debtor's Pulpit,Gatecrash,0.10,0.15
Debtors' Transport,Ravnica Remastered,0.03,0.02
Debt to the Deathless,Ravnica Remastered,0.32,0.44
Debt to the Kami,Kamigawa: Neon Dynasty,0.05,0.12
Decadent Dragon // Expensive Taste,Wilds of Eldraine,0.48,0.77
Decanter of Endless Water,Commander Legends: Battle for Baldur's Gate,1.78,2.36
Decaying Soil,Odyssey,0.43,4.51
Decaying Time Loop,Doctor Who,0.14,2.07
Deceiver Exarch,Commander Anthology,0.35,
Deceiver of Form,Oath of the Gatewatch,0.65,6.63
Deceive the Messenger,The Lord of the Rings: Tales of Middle-earth,0.03,0.08
Deception,Portal Three Kingdoms,0.75,
Deceptive Landscape,Modern Horizons 3,0.08,0.16
Decimate,Outlaws of Thunder Junction Commander,0.11,
Decimator Beetle,Amonkhet,0.03,0.51
Decimator of the Provinces,Eldritch Moon,1.81,9.62
Decimator Web,Mirrodin Besieged,0.47,3.63
Decision Paralysis,Game Night 2019,,
Decisive Denial,Strixhaven: School of Mages,0.12,0.16
Declaration in Stone,New Capenna Commander,0.16,
Declaration of Naught,Morningtide,2.05,6.87
Declare Dominance,Core Set 2019,0.03,0.12
Decoction Module,Kaladesh,0.18,3.06
Decommission,Aether Revolt,0.03,
Decompose,Duel Decks: Sorin vs. Tibalt,0.03,
Decomposition,Mirage,0.18,
Deconstruct,Mirrodin,0.18,1.34
Deconstruction Hammer,The Lost Caverns of Ixalan,0.03,0.06
Decorated Champion,Battlebond,0.21,0.55
Decorated Griffin,Theros,0.04,0.26
Decoy Gambit,Commander 2020,0.14,
Decree of Annihilation,Scourge,2.15,9.29
Decree of Justice,Modern Horizons 3,0.04,0.12
Decree of Pain,Duskmourn: House of Horror Commander,0.21,
Decree of Savagery,Forgotten Realms Commander,0.11,
Decree of Silence,Scourge,6.73,41.24
Dedicated Martyr,Odyssey,0.12,0.63
Deduce,Murders at Karlov Manor,0.08,0.12
"Deekah, Fractal Theorist",Commander 2021,4.20,
"Dee Kay, Finder of the Lost",Unfinity,0.06,0.11
Deem Inferior,Modern Horizons 3,0.05,0.06
Deem Worthy,Amonkhet,0.07,0.35
Deep Analysis,Modern Horizons 3,0.04,0.12
Deep-Cavern Bat,The Lost Caverns of Ixalan,1.84,2.39
Deepcavern Imp,Time Spiral Remastered,0.05,0.39
Deepchannel Mentor,Shadowmoor,6.18,10.00
Deepfathom Echo,The Lost Caverns of Ixalan,0.31,0.16
Deepfathom Skulker,Oath of the Gatewatch,0.25,0.81
Deepfire Elemental,Commander 2013,0.18,
Deep Forest Hermit,Modern Horizons,0.43,3.50
Deep Freeze,Dominaria,0.03,0.27
Deep-Fried Plague Myr,Unfinity Sticker Sheets,0.15,
Deepglow Skate,Commander Masters,0.84,
Deep Gnome Terramancer,Commander Legends: Battle for Baldur's Gate,4.02,
Deep Goblin Skulltaker,The Lost Caverns of Ixalan,0.04,0.06
Deepmuck Desperado,Outlaws of Thunder Junction,0.09,0.18
Deep Reconnaissance,Odyssey,0.26,5.56
Deeproot Champion,Ixalan,0.21,0.66
Deeproot Elite,The Lost Caverns of Ixalan Commander,0.15,
Deeproot Historian,The Lost Caverns of Ixalan Commander,0.11,
Deeproot Pilgrimage,The Lost Caverns of Ixalan,0.54,0.57
Deeproot Warrior,Ixalan,0.02,0.22
Deeproot Waters,The Lost Caverns of Ixalan Commander,0.11,
Deeproot Wayfinder,March of the Machine,0.28,0.37
Deep-Sea Kraken,Duel Decks: Mind vs. Might,2.04,
Deep-Sea Serpent,Portal,0.28,
Deep-Sea Terror,Magic Origins,0.05,0.12
Deep-Slumber Titan,Shadowmoor,0.25,0.98
Deep Spawn,Masters Edition II,,
Deeptread Merrow,Lorwyn,0.10,0.21
Deep Water,The Dark,0.17,
Deepwater Hypnotist,Born of the Gods,0.01,0.25
Deep Wood,Portal Second Age,0.38,
Deepwood Denizen,Modern Horizons 2,0.04,0.10
Deepwood Drummer,Mercadian Masques,0.06,0.47
Deepwood Elder,Mercadian Masques,0.33,4.65
Deepwood Ghoul,Eighth Edition,0.11,
Deepwood Legate,Mercadian Masques,0.19,7.51
Deepwood Tantiv,Mercadian Masques,0.11,1.19
Deepwood Wolverine,Mercadian Masques,0.09,0.40
Defabricate,The Brothers' War,0.12,0.48
Deface,Ravnica Allegiance,0.04,0.15
Defang,Avacyn Restored,0.06,0.25
Defeat,Dragons of Tarkir,0.02,
Defender en-Vec,Nemesis,0.11,0.24
Defender of Chaos,Urza's Legacy,0.10,3.27
Defender of Law,Urza's Legacy,0.16,1.67
Defender of the Order,Legions,0.18,
Defenders of Humanity,"Warhammer 40,000 Commander",0.20,
Defend the Campus,Strixhaven: School of Mages,0.02,0.07
Defend the Celestus,Innistrad: Midnight Hunt,0.04,0.05
Defend the Hearth,Theros,0.13,0.41
Defenestrate,Innistrad: Midnight Hunt,0.02,0.03
Defenestrated Phantom,Murders at Karlov Manor,0.01,0.01
Defense Grid,Ninth Edition,4.68,
Defense of the Heart,Urza's Legacy,9.95,114.91
Defensive Formation,Urza's Saga,0.44,
Defensive Maneuvers,Onslaught,0.07,0.34
Defensive Stance,New Phyrexia,0.02,0.65
Defiant Bloodlord,Commander 2021,0.24,
Defiant Elf,Legions,0.13,0.30
Defiant Falcon,Nemesis,0.21,2.50
Defiant Greatmaw,Amonkhet,0.07,0.29
Defiant Khenra,Hour of Devastation,0.01,0.17
Defiant Ogre,Fate Reforged,0.02,0.12
Defiant Salvager,Commander Legends,0.01,0.07
Defiant Stand,Portal,0.20,
Defiant Strike,Core Set 2021,0.04,0.17
Defiant Survivor,Duskmourn: House of Horror,0.07,0.09
Defiant Vanguard,Time Spiral Timeshifted,0.10,0.43
Defile,Modern Horizons,0.93,2.45
Defiled Crypt // Cadaver Lab,Duskmourn: House of Horror,0.09,0.18
Defiler of Dreams,Dominaria United,0.27,0.29
Defiler of Faith,Dominaria United,0.33,0.38
Defiler of Flesh,Dominaria United,0.30,0.33
Defiler of Instinct,Dominaria United,0.28,0.42
Defiler of Souls,Alara Reborn,2.42,4.29
Defiler of Vigor,Dominaria United,2.19,2.85
Defiling Tears,Invasion,0.15,
Deflecting Palm,Murders at Karlov Manor Commander,1.13,
Deflecting Swat,Commander Masters,37.08,38.63
Deflection,Eighth Edition,0.25,
Defossilize,The Lost Caverns of Ixalan,0.03,0.09
Deftblade Elite,Vintage Masters,,
Deft Dismissal,Aether Revolt,0.04,
Deft Duelist,Shards of Alara,0.10,0.23
Defy Death,Avacyn Restored,0.19,4.72
Defy Gravity,Ultimate Masters,0.12,0.29
Dega Disciple,Apocalypse,0.12,0.72
Dega Sanctuary,Apocalypse,0.21,6.58
Degavolver,Apocalypse,0.34,10.45
Deglamer,Morningtide,3.52,13.49
Dehydration,Tenth Edition,0.03,
Deicide,Journey into Nyx,0.11,0.14
Deification,March of the Machine: The Aftermath,0.14,0.18
Deity of Scars,Eventide,0.88,6.99
Déjà Vu,Portal Second Age,0.76,
Delay,Time Spiral Remastered,2.17,8.45
Delayed Blast Fireball,Commander Legends: Battle for Baldur's Gate,11.72,
Delaying Shield,Odyssey,3.50,27.14
Delete,Doctor Who,0.43,2.05
Deliberate,Zendikar Rising,0.08,0.20
Delif's Cone,Fallen Empires,0.24,
Delif's Cube,Fallen Empires,0.83,
Delighted Halfling,The Lord of the Rings: Tales of Middle-earth,11.63,11.77
Delightful Discovery,Foundations Jumpstart,0.27,
"Delina, Wild Mage",Adventures in the Forgotten Realms,4.73,5.54
Delirium,Mirage,0.95,
Delirium Skeins,Modern Masters 2017,0.16,0.46
Deliver Unto Evil,War of the Spark,0.17,0.55
"Delney, Streetwise Lookout",Murders at Karlov Manor,30.91,34.59
Delraich,Mercadian Masques,0.64,12.59
Deluge,Tenth Edition,0.39,0.80
Deluge of Doom,Duskmourn: House of Horror Commander,0.19,
Delusions of Mediocrity,Seventh Edition,0.71,
Deluxe Dragster,March of the Machine Commander,0.46,
Delver of Secrets // Insectile Aberration,Innistrad: Midnight Hunt,0.37,0.45
Delver's Torch,Adventures in the Forgotten Realms,0.03,0.15
Demand Answers,Murders at Karlov Manor,0.28,0.34
Demanding Dragon,Forgotten Realms Commander,0.30,
Dematerialize,Odyssey,0.07,0.30
Dementia Bat,New Phyrexia,0.08,0.28
Dementia Sliver,Time Spiral,0.21,0.99
Demigod of Revenge,Modern Masters,0.52,0.56
Demilich,Adventures in the Forgotten Realms,0.70,1.09
Demogorgon's Clutches,Adventures in the Forgotten Realms,0.06,0.17
Demolish,Ravnica Remastered,0.02,0.08
Demolisher Spawn,Duskmourn: House of Horror Commander,0.22,
Demolition Field,Foundations,0.55,
Demolition Stomper,Kaladesh,0.07,0.31
Demon Bolt,Commander Legends: Battle for Baldur's Gate,0.04,
Demonfire,Ravnica Remastered,0.05,0.09
Demonic Appetite,Rise of the Eldrazi,0.10,0.33
Demonic Bargain,Innistrad: Crimson Vow,0.13,0.26
Demonic Collusion,Time Spiral,2.25,9.00
Demonic Consultation,Masters Edition II,,
